name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
364;0.01;False;11.19;False;ERR;ERR;0.28;False;0.224158833;0.88;False;0.25701430799999997;ERR;ERR;37.97;False;TO;TO;ERR;ERR;ERR
365;0.01;False;TO;TO;ERR;ERR;0.16;False;0.09086314499999999;8.41;False;0.18149837900000065;TO;TO;61.51;False;TO;TO;ERR;ERR;ERR
366;0.01;False;2.14;False;3.82;False;0.5;False;0.394294796;3.2;False;0.36070021200000024;0.6;False;1.79;False;8.63;False;ERR;ERR;ERR
367;0.02;False;TO;TO;ERR;ERR;0.13;False;0.0007266410000000001;11.16;False;0.001172069000000775;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR
368;0.85;True;0.01;True;0.0;True;0.09;True;0.06504517300000001;0.1;True;0.071551969;0.06;True;0.05;True;0.02;True;ERR;ERR;ERR
369;0.01;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;0.05;False;0.05;False;0.03;False;ERR;ERR;ERR
370;ERR;ERR;0.01;True;0.0;True;0.12;True;0.08952493700000001;0.13;True;0.105924943;0.06;True;0.07;True;0.03;True;ERR;ERR;ERR
371;0.01;False;13.15;False;ERR;ERR;2.04;False;0.30069801800000007;TO;TO;TO;17.68;False;42.74;False;TO;TO;ERR;ERR;ERR
372;14.99;True;0.01;True;0.01;True;0.83;True;0.34415993399999995;13.83;True;0.3275552000000008;0.05;True;0.75;False;0.05;True;ERR;ERR;ERR
373;35.35;True;0.01;True;0.0;True;0.19;True;0.15457500700000001;0.26;True;0.211720072;0.06;True;0.06;True;0.04;True;ERR;ERR;ERR
374;0.6;False;TO;TO;TO;TO;0.19;False;0.123700104;0.23;False;0.13314511;20.42;False;0.5;False;TO;TO;ERR;ERR;ERR
375;0.01;False;0.0;True;0.01;True;0.95;True;0.20039853799999996;11.35;True;0.25958371499999977;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
376;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;0.07;False;0.03;False;0.05;False;ERR;ERR;ERR
377;0.01;False;0.01;False;0.0;False;0.8;False;0.18991273799999997;83.8;False;0.23950781099999574;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
378;88.36;False;0.37;False;0.56;False;ERR;ERR;ERR;ERR;ERR;ERR;0.09;False;0.4;False;1.2;False;ERR;ERR;ERR
379;0.0;False;0.01;False;0.01;False;0.49;False;0.136293516;12.07;False;0.14792783999999948;0.06;False;0.06;False;0.04;False;ERR;ERR;ERR
380;0.01;False;0.01;True;0.0;True;0.16;True;0.100971629;0.38;True;0.10627542899999998;0.05;True;ERR;ERR;0.04;True;ERR;ERR;ERR
